20
1	1	7
1	2	7
1	3	7
1	4	3
1	5	1
1	9	7
1	10	7
1	11	6
2	1	2
2	2	1
2	3	12
2	4	12
2	5	11
2	6	7
2	7	5
2	8	3
2	9	8
2	10	8
2	11	9
2	12	9
30
1	1	1	0	69120
2	1	1	69120	207360
3	1	1	259200	400000
4	1	1	432000	544500
5	1	1	604800	627300
6	1	1	691200	715200
7	1	1	715200	763200
8	1	1	763200	811200
9	1	1	811200	884572
10	1	1	884572	923144
1	2	2	69120	194400
2	2	2	207360	345600
3	2	2	400000	519631
4	2	2	544500	642628
5	2	2	642628	664447
6	2	2	715200	745200
7	2	2	763200	823200
8	2	2	823200	882071
9	2	2	884572	969278
10	2	2	969278	1011631
1	3	3	194400	237600
2	3	3	345600	432000
3	3	3	519631	579631
4	3	3	642628	680128
5	3	3	680128	687628
6	3	3	745200	760200
7	3	3	823200	853200
8	3	3	882071	912071
9	3	3	969278	1014278
10	3	3	1014278	1036778
